source_ticker,yahoo_ticker,name,as_of_date
NVDA,NVDA,NVIDIA CORP,2026-08-20
AAPL,AAPL,APPLE INC,2026-08-20
MSFT,MSFT,MICROSOFT CORP,2026-08-20
AMZN,AMZN,AMAZON.COM INC,2026-08-20
GOOGL,GOOGL,ALPHABET INC CL A,2026-08-20
AVGO,AVGO,BROADCOM INC,2026-08-20
GOOG,GOOG,ALPHABET INC CL C,2026-08-20
META,META,META PLATFORMS INC CLASS A,2026-08-20
MU,MU,MICRON TECHNOLOGY INC,2026-08-20
LLY,LLY,ELI LILLY + CO,2026-08-20
TSLA,TSLA,TESLA INC,2026-08-20
JPM,JPM,JPMORGAN CHASE + CO,2026-08-20
BRK.B,BRK-B,BERKSHIRE HATHAWAY INC CL B,2026-08-20
AMD,AMD,ADVANCED MICRO DEVICES,2026-08-20
XOM,XOM,EXXONMOBIL HOLDINGS CORP,2026-08-20
JNJ,JNJ,JOHNSON + JOHNSON,2026-08-20
V,V,VISA INC CLASS A SHARES,2026-08-20
MA,MA,MASTERCARD INC   A,2026-08-20
ABBV,ABBV,ABBVIE INC,2026-08-20
INTC,INTC,INTEL CORP,2026-08-20
WMT,WMT,WALMART INC,2026-08-20
CSCO,CSCO,CISCO SYSTEMS INC,2026-08-20
COST,COST,COSTCO WHOLESALE CORP,2026-08-20
BAC,BAC,BANK OF AMERICA CORP,2026-08-20
PLTR,PLTR,PALANTIR TECHNOLOGIES INC A,2026-08-20
AMAT,AMAT,APPLIED MATERIALS INC,2026-08-20
LRCX,LRCX,LAM RESEARCH CORP,2026-08-20
CVX,CVX,CHEVRON CORP,2026-08-20
CAT,CAT,CATERPILLAR INC,2026-08-20
MRK,MRK,MERCK + CO. INC.,2026-08-20
GE,GE,GENERAL ELECTRIC,2026-08-20
KO,KO,COCA COLA CO/THE,2026-08-20
UNH,UNH,UNITEDHEALTH GROUP INC,2026-08-20
NFLX,NFLX,NETFLIX INC,2026-08-20
HD,HD,HOME DEPOT INC,2026-08-20
PG,PG,PROCTER + GAMBLE CO/THE,2026-08-20
PM,PM,PHILIP MORRIS INTERNATIONAL,2026-08-20
GS,GS,GOLDMAN SACHS GROUP INC,2026-08-20
RTX,RTX,RTX CORP,2026-08-20
PANW,PANW,PALO ALTO NETWORKS INC,2026-08-20
GEV,GEV,GE VERNOVA INC,2026-08-20
WFC,WFC,WELLS FARGO + CO,2026-08-20
MS,MS,MORGAN STANLEY,2026-08-20
KLAC,KLAC,KLA CORP,2026-08-20
TXN,TXN,TEXAS INSTRUMENTS INC,2026-08-20
ORCL,ORCL,ORACLE CORP,2026-08-20
SNDK,SNDK,SANDISK CORP,2026-08-20
TMO,TMO,THERMO FISHER SCIENTIFIC INC,2026-08-20
AMGN,AMGN,AMGEN INC,2026-08-20
LIN,LIN,LINDE PLC,2026-08-20
C,C,CITIGROUP INC,2026-08-20
MRVL,MRVL,MARVELL TECHNOLOGY INC,2026-08-20
IBM,IBM,INTL BUSINESS MACHINES CORP,2026-08-20
VZ,VZ,VERIZON COMMUNICATIONS INC,2026-08-20
ABT,ABT,ABBOTT LABORATORIES,2026-08-20
PEP,PEP,PEPSICO INC,2026-08-20
CRWD,CRWD,CROWDSTRIKE HOLDINGS INC   A,2026-08-20
MCD,MCD,MCDONALD S CORP,2026-08-20
STX,STX,SEAGATE TECHNOLOGY HOLDINGS,2026-08-20
ANET,ANET,ARISTA NETWORKS INC,2026-08-20
APH,APH,AMPHENOL CORP CL A,2026-08-20
DIS,DIS,WALT DISNEY CO/THE,2026-08-20
ADI,ADI,ANALOG DEVICES INC,2026-08-20
UNP,UNP,UNION PACIFIC CORP,2026-08-20
SCHW,SCHW,SCHWAB (CHARLES) CORP,2026-08-20
GILD,GILD,GILEAD SCIENCES INC,2026-08-20
NEE,NEE,NEXTERA ENERGY INC,2026-08-20
AXP,AXP,AMERICAN EXPRESS CO,2026-08-20
T,T,AT+T INC,2026-08-20
BA,BA,BOEING CO/THE,2026-08-20
QCOM,QCOM,QUALCOMM INC,2026-08-20
CRM,CRM,SALESFORCE INC,2026-08-20
WELL,WELL,WELLTOWER INC,2026-08-20
BLK,BLK,BLACKROCK INC,2026-08-20
COP,COP,CONOCOPHILLIPS,2026-08-20
BKNG,BKNG,BOOKING HOLDINGS INC,2026-08-20
WDC,WDC,WESTERN DIGITAL CORP,2026-08-20
ETN,ETN,EATON CORP PLC,2026-08-20
UBER,UBER,UBER TECHNOLOGIES INC,2026-08-20
PFE,PFE,PFIZER INC,2026-08-20
DE,DE,DEERE + CO,2026-08-20
TJX,TJX,TJX COMPANIES INC,2026-08-20
VRTX,VRTX,VERTEX PHARMACEUTICALS INC,2026-08-20
NEM,NEM,NEWMONT CORP,2026-08-20
DHR,DHR,DANAHER CORP,2026-08-20
